game_id,club_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
2604275,252.0,4.0,10.0,Gian Piero Gasperini,8970.0,0.0,19.0,Roberto Stellone,Home,1
2604311,506.0,3.0,1.0,Massimiliano Allegri,398.0,0.0,9.0,Simone Inzaghi,Home,1
2609665,244.0,0.0,11.0,Míchel,855.0,0.0,19.0,Jocelyn Gourvennec,Home,0
2609676,417.0,2.0,4.0,Claude Puel,1420.0,1.0,3.0,Stéphane Moulin,Home,1
2609692,1095.0,0.0,20.0,Claude Robin,995.0,1.0,9.0,Michel Der Zakarian,Home,0
2609730,1420.0,2.0,9.0,Stéphane Moulin,969.0,3.0,15.0,Frédéric Hantz,Home,0
2609764,995.0,2.0,6.0,Michel Der Zakarian,1420.0,0.0,12.0,Stéphane Moulin,Home,1
2609794,969.0,0.0,16.0,Frédéric Hantz,1041.0,2.0,2.0,Bruno Génésio,Home,0
2609825,995.0,1.0,9.0,Michel Der Zakarian,417.0,0.0,5.0,Claude Puel,Home,1
2609846,583.0,4.0,1.0,Laurent Blanc,995.0,0.0,14.0,Michel Der Zakarian,Home,1
2618536,418.0,4.0,,Rafael Benítez,660.0,0.0,,Mircea Lucescu,Home,1
2618544,12.0,1.0,,Rudi Garcia,131.0,1.0,,Luis Enrique,Home,0
2618567,985.0,2.0,,Louis van Gaal,82.0,1.0,,Dieter Hecking,Home,1
2618580,11.0,2.0,,Arsène Wenger,27.0,0.0,,Pep Guardiola,Home,1
2618604,27.0,5.0,,Pep Guardiola,11.0,1.0,,Arsène Wenger,Home,1
2628047,2687.0,1.0,,Claudio Barragán,36285.0,0.0,,José Gómez,Home,1
2636826,167.0,0.0,,Markus Weinzierl,16.0,2.0,,Thomas Tuchel,Home,0
2636831,79.0,3.0,,Jürgen Kramny,23.0,2.0,,Torsten Lieberknecht,Home,1
2645721,131.0,3.0,,Luis Enrique,10948.0,0.0,,Luiz Felipe Scolari,Home,1
2646163,180.0,1.0,,Ronald Koeman,873.0,2.0,,Alan Pardew,Home,0
2646686,3522.0,1.0,,Domenico Di Carlo,2721.0,2.0,,Angelo Gregucci,Home,0
2647660,13.0,3.0,,Diego Simeone,367.0,0.0,,Paco Jémez,Home,1
2666000,131.0,2.0,,Luis Enrique,368.0,0.0,,Unai Emery,Home,1
2666788,29.0,2.0,,Roberto Martínez,631.0,0.0,,Guus Hiddink,Home,1
2675294,27.0,1.0,,Pep Guardiola,294.0,0.0,,Rui Vitória,Home,1
2675295,131.0,2.0,,Luis Enrique,13.0,1.0,,Diego Simeone,Home,1
2684201,27.0,4.0,,Pep Guardiola,16.0,3.0,,Thomas Tuchel,Home,1
2685107,873.0,1.0,,Alan Pardew,985.0,2.0,,Louis van Gaal,Home,0
2697998,985.0,2.0,2.0,José Mourinho,180.0,0.0,16.0,Claude Puel,Home,1
2698157,985.0,1.0,6.0,José Mourinho,11.0,1.0,4.0,Arsène Wenger,Home,0
2698159,11.0,3.0,4.0,Arsène Wenger,989.0,1.0,12.0,Eddie Howe,Home,1
2698200,631.0,1.0,1.0,Antonio Conte,984.0,0.0,8.0,Tony Pulis,Home,1
2698213,11.0,3.0,2.0,Arsène Wenger,512.0,1.0,11.0,Mark Hughes,Home,1
2698260,379.0,3.0,12.0,Slaven Bilic,873.0,0.0,17.0,Sam Allardyce,Home,1
2698300,1132.0,0.0,15.0,Sean Dyche,148.0,2.0,2.0,Mauricio Pochettino,Home,0
2698302,29.0,4.0,7.0,Ronald Koeman,281.0,0.0,5.0,Pep Guardiola,Home,1
2698321,31.0,3.0,3.0,Jürgen Klopp,29.0,1.0,7.0,Ronald Koeman,Home,1
2698346,873.0,0.0,18.0,Sam Allardyce,148.0,1.0,2.0,Mauricio Pochettino,Home,0
2698367,989.0,2.0,11.0,Eddie Howe,512.0,2.0,13.0,Mark Hughes,Home,0
